"ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE","TIME","AVG_RMSD","AVG_RMSD^3_TIME"
16,12,1,192,1024,10,4,52428800,213.151,2.84,4882.501603904
16,12,2,128,256,50,2,5242880,104.56,2.27,1223.04699848
16,12,3,32,1024,30,1,1048576,387.655,2.46,5770.99517508
16,12,3,160,1024,30,4,5242880,389.417,2.54,6381.401301688
16,12,4,64,256,256,3,20971520,172.492,2.07,1529.959709556
16,12,5,160,256,30,3,20971520,155.985,2.39,2129.494585215
16,16,1,96,1024,256,2,10485760,245.272,2.15,2437.605113
16,16,1,128,256,10,1,5242880,92.945,2.93,2337.915944365
16,16,2,256,256,30,3,1048576,111.403,2.42,1578.857680664
16,16,5,64,1024,30,1,5242880,855.605,2.42,12126.05159524
16,20,2,224,1024,256,4,2097152,455.602,2.16,4591.418452992
16,20,3,192,1024,10,2,2097152,524.958,2.69,10218.364690422
16,20,4,96,256,50,2,52428800,175.984,2.18,1823.235068288
16,20,4,256,256,256,2,10485760,192.819,2.04,1636.968522816
16,20,5,32,1024,50,3,52428800,731.278,2.27,8553.819462074
16,20,5,128,1024,50,4,10485760,732.204,2.39,9995.989699476
16,24,1,192,1024,50,1,20971520,274.395,2.32,3426.41646336
16,24,3,128,256,30,4,20971520,147.497,2.36,1938.738327232
16,24,4,96,1024,30,1,5242880,722.074,2.39,9857.695760006
16,24,4,160,1024,50,1,52428800,693.284,2.3,8435.186428
16,24,5,64,256,256,4,52428800,284.1,2.05,2447.5570125
16,24,5,256,256,10,2,20971520,226.215,2.66,4257.61423164
16,32,1,32,256,30,4,1048576,88.511,2.39,1208.345002609
16,32,1,192,256,256,1,10485760,111.387,2.1,1031.555007
16,32,1,224,1024,10,4,20971520,350.064,2.7,6890.309712
16,32,1,256,1024,50,3,20971520,327.098,2.3,3979.801366
16,32,2,64,256,30,1,5242880,161.447,2.38,2176.510920584
16,32,2,192,1024,256,3,5242880,527.13,2.12,5022.56211264
16,32,3,96,1024,10,2,5242880,679.86,2.64,12509.24995584
16,32,3,128,256,50,3,10485760,176.16,2.29,2115.50350224
16,32,3,128,1024,30,4,1048576,653.054,2.45,9603.89375575
16,32,3,192,1024,10,3,5242880,692.125,2.7,13623.096375
16,32,4,32,1024,10,1,52428800,809.388,2.81,17958.734128908
16,32,4,64,1024,256,1,52428800,1085.06,2.04,9211.79481984
16,32,4,96,256,256,3,1048576,235.612,2.08,2120.251654144
16,32,4,160,256,30,1,5242880,213.407,2.34,2734.363403928
16,32,5,96,1024,256,2,5242880,1064.034,2.07,9437.708123262
16,32,5,128,256,30,4,5242880,249.814,2.35,3242.05486525
16,32,5,192,1024,30,4,52428800,1041.052,2.42,14754.296977376
16,32,5,224,256,50,3,52428800,297.3,2.27,3477.5427759
16,48,1,160,256,30,2,10485760,101.548,2.37,1351.812358044
16,48,1,192,1024,10,4,1048576,385.839,2.8,8469.937728
16,48,2,64,256,30,4,1048576,206.403,2.38,2782.574984616
16,48,2,96,256,30,1,52428800,175.914,2.35,2282.98990275
16,48,2,224,1024,30,1,2097152,730.197,2.38,9843.984370584
16,48,4,32,256,10,4,5242880,268.911,2.63,4891.880204217
16,48,5,32,1024,30,2,5242880,1296.801,2.35,16829.721277875
16,48,5,192,1024,10,3,20971520,1382.169,2.74,28432.355237256
16,48,5,224,256,50,4,10485760,390.861,2.33,4944.132509157
16,72,1,96,256,10,2,5242880,142.322,2.58,2444.168574864
16,72,1,128,1024,30,4,10485760,478.312,2.51,7563.667712312
16,72,3,128,1024,256,2,5242880,1141.746,2.03,9551.192815542
16,72,4,96,1024,10,3,10485760,1559.539,2.57,26472.539792627
16,72,5,32,256,30,1,10485760,449.162,2.3,5464.954054
16,72,5,32,256,50,3,52428800,450.247,2.2,4794.230056
16,72,5,64,1024,30,4,10485760,2354.056,2.48,35906.397335552
20,8,1,32,1024,10,2,1048576,197.845,2.79,4296.726287955
20,8,1,32,1024,10,4,52428800,193.238,2.83,4379.775405506
20,8,1,96,1024,50,3,52428800,207.563,2.49,3204.409277187
20,8,2,96,1024,10,3,5242880,294.436,2.78,6325.943327072
20,8,2,224,1024,50,2,5242880,330.336,2.46,4917.690890496
20,8,2,224,1024,256,3,5242880,346.209,2.19,3636.392036931
20,8,3,64,1024,10,2,10485760,445.12,2.88,10632.96958464
20,8,3,64,1024,50,4,2097152,448.308,2.5,7004.8125
20,8,3,224,1024,30,1,52428800,412.728,2.48,6295.336882176
20,8,3,224,1024,30,3,5242880,416.957,2.49,6437.085988293
20,8,4,192,1024,10,4,10485760,455.482,2.9,11108.750498
20,8,4,224,1024,256,2,10485760,522.016,2.17,5334.122879008
20,8,5,128,256,50,1,1048576,144.957,2.31,1786.796660187
20,12,1,128,1024,30,4,1048576,218.166,2.55,3617.49225825
20,12,1,256,256,256,1,52428800,80.191,2.08,721.631752192
20,12,2,64,1024,30,3,5242880,404.743,2.4,5595.167232
20,12,2,192,1024,10,3,2097152,332.435,2.72,6689.80492288
20,12,2,192,1024,256,1,5242880,357.988,2.07,3175.261557084
20,12,3,64,256,30,1,5242880,143.814,2.34,1842.674975856
20,12,3,192,256,50,2,10485760,128.697,2.26,1485.572121672
20,12,3,192,256,256,3,52428800,137.58,2.06,1202.69904528
20,12,3,192,1024,256,2,2097152,448.07,2.12,4269.26831296
20,12,4,160,1024,10,4,52428800,502.941,2.78,10805.663243832
20,12,5,128,256,10,4,10485760,161.578,2.73,3287.533366026
20,12,5,160,256,30,2,20971520,163.989,2.32,2047.758193152
