#vm,ram,time,cost
-0.9256561481137485,-0.44416565788498674,1381032,9667224
-0.9256561481137485,-0.44416565788498674,1344117,9408819
-0.9256561481137485,-0.44416565788498674,1431851,10022957
-0.9256561481137485,-0.44416565788498674,1363919,9547433
-0.9256561481137485,-0.44416565788498674,1355526,9488682
-0.9256561481137485,-0.44416565788498674,1384157,9689099
-0.9256561481137485,-0.44416565788498674,1352110,9464770
-0.9256561481137485,-0.44416565788498674,1333099,9331693
-0.9256561481137485,-0.44416565788498674,1453460,10174220
-0.9256561481137485,-0.44416565788498674,1416237,9913659
-0.9256561481137485,-0.44416565788498674,1352409,9466863
-0.7799626431189116,-0.44416565788498674,1218900,9751200
-0.7799626431189116,-0.44416565788498674,1209044,9672352
-0.6342691381240747,-0.44416565788498674,1137499,10237491
-0.6342691381240747,-0.44416565788498674,1180408,10623672
-0.6342691381240747,-0.44416565788498674,1151008,10359072
-0.6342691381240747,-0.44416565788498674,1122849,10105641
-0.6342691381240747,-0.44416565788498674,1043461,9391149
-0.6342691381240747,-0.44416565788498674,1161136,10450224
-0.6342691381240747,-0.44416565788498674,956559,8609031
-0.6342691381240747,-0.44416565788498674,1127014,10143126
-0.6342691381240747,-0.44416565788498674,1146396,10317564
-0.6342691381240747,-0.44416565788498674,1065225,9587025
-0.6342691381240747,-0.44416565788498674,925163,8326467
-0.6342691381240747,-0.44416565788498674,975415,8778735
-0.6342691381240747,-0.44416565788498674,1091003,9819027
-0.6342691381240747,-0.44416565788498674,948917,8540253
-0.6342691381240747,-0.44416565788498674,1128978,10160802
-0.6342691381240747,-0.44416565788498674,1046462,9418158
-0.6342691381240747,-0.44416565788498674,1148476,10336284
-0.6342691381240747,-0.44416565788498674,924719,8322471
-0.6342691381240747,-0.44416565788498674,1038639,9347751
-0.48857563312923774,-0.44416565788498674,1025435,10254350
-0.48857563312923774,-0.44416565788498674,1080234,10802340
-0.48857563312923774,-0.44416565788498674,1040458,10404580
-0.48857563312923774,-0.44416565788498674,1077539,10775390
-0.48857563312923774,-0.44416565788498674,1021590,10215900
-0.48857563312923774,-0.44416565788498674,991594,9915940
-0.48857563312923774,-0.44416565788498674,1039596,10395960
-0.48857563312923774,-0.44416565788498674,1012606,10126060
-0.3428821281344008,-0.44416565788498674,981689,10798579
-0.3428821281344008,-0.44416565788498674,949093,10440023
-0.3428821281344008,-0.44416565788498674,560566,6166226
-0.3428821281344008,-0.44416565788498674,893358,9826938
-0.3428821281344008,-0.44416565788498674,883577,9719347
-0.3428821281344008,-0.44416565788498674,950104,10451144
-0.3428821281344008,-0.44416565788498674,946586,10412446
-0.3428821281344008,-0.44416565788498674,887773,9765503
-0.3428821281344008,-0.44416565788498674,921104,10132144
-0.3428821281344008,-0.44416565788498674,965958,10625538
-0.3428821281344008,-0.44416565788498674,911616,10027776
-0.3428821281344008,-0.44416565788498674,924045,10164495
-0.3428821281344008,-0.44416565788498674,934360,10277960
-0.3428821281344008,-0.44416565788498674,991204,10903244
-0.3428821281344008,-0.44416565788498674,890467,9795137
-0.3428821281344008,-0.44416565788498674,888218,9770398
-0.3428821281344008,-0.44416565788498674,988848,10877328
-0.3428821281344008,-0.44416565788498674,967553,10643083
-0.3428821281344008,-0.44416565788498674,982098,10803078
-0.3428821281344008,-0.44416565788498674,971266,10683926
-0.3428821281344008,-0.44416565788498674,917062,10087682
-0.3428821281344008,-0.44416565788498674,927120,10198320
-0.3428821281344008,-0.44416565788498674,925033,10175363
-0.19718862313956387,-0.44416565788498674,864259,10371108
-0.19718862313956387,-0.44416565788498674,837746,10052952
-0.19718862313956387,-0.44416565788498674,839849,10078188
-0.19718862313956387,-0.44416565788498674,852377,10228524
-0.19718862313956387,-0.44416565788498674,858478,10301736
-0.05149511814472691,-0.44416565788498674,646071,8398923
-0.05149511814472691,-0.44416565788498674,592691,7704983
-0.05149511814472691,-0.44416565788498674,773885,10060505
-0.05149511814472691,-0.44416565788498674,593511,7715643
-0.05149511814472691,-0.44416565788498674,765210,9947730
-0.05149511814472691,-0.44416565788498674,575412,7480356
-0.05149511814472691,-0.44416565788498674,609461,7922993
-0.05149511814472691,-0.44416565788498674,626764,8147932
-0.05149511814472691,-0.44416565788498674,580971,7552623
-0.05149511814472691,-0.44416565788498674,789771,10267023
-0.05149511814472691,-0.44416565788498674,754996,9814948
-0.05149511814472691,-0.44416565788498674,652595,8483735
-0.05149511814472691,-0.44416565788498674,581010,7553130
-0.05149511814472691,-0.44416565788498674,759564,9874332
-0.05149511814472691,-0.44416565788498674,588690,7652970
-0.05149511814472691,-0.44416565788498674,609406,7922278
-0.05149511814472691,-0.44416565788498674,596363,7752719
-0.05149511814472691,-0.44416565788498674,755650,9823450
-0.05149511814472691,-0.44416565788498674,587698,7640074
-0.05149511814472691,-0.44416565788498674,642698,8355074
-0.05149511814472691,-0.44416565788498674,743904,9670752
-0.05149511814472691,-0.44416565788498674,772596,10043748
-0.05149511814472691,-0.44416565788498674,598184,7776392
-0.05149511814472691,-0.44416565788498674,591316,7687108
-0.05149511814472691,-0.44416565788498674,611305,7946965
-0.05149511814472691,-0.44416565788498674,601201,7815613
-0.05149511814472691,-0.44416565788498674,576839,7498907
-0.05149511814472691,-0.44416565788498674,777790,10111270
-0.05149511814472691,-0.44416565788498674,594423,7727499
