confidence,hypo_step,max_arm_length,num_threads,exec_time_s,cost
34,3,8,31,67.39,2089090
24,3,8,31,71.93,2229830
14,3,8,31,65.41,2027710
64,2,8,31,77.28,2395680
54,2,8,31,80.61,2498910
44,2,8,31,78.32,2427920
34,2,8,31,81.84,2537040
24,2,8,31,72.21,2238510
14,2,8,31,80.51,2495810
64,1,8,31,125.46,3889260
54,1,8,31,120.09,3722790
44,1,8,31,117.52,3643120
34,1,8,31,121.11,3754410
24,1,8,31,127.05,3938550
14,1,8,31,126.57,3923670
64,3,7,31,59.74,1851940
54,3,7,31,66.11,2049410
44,3,7,31,61.0,1891000
34,3,7,31,65.08,2017480
24,3,7,31,64.43,1997330
14,3,7,31,58.59,1816290
64,2,7,31,72.69,2253390
54,2,7,31,83.96,2602760
44,2,7,31,87.78,2721180
34,2,7,31,78.1,2421100
24,2,7,31,90.31,2799610
14,2,7,31,74.95,2323450
64,1,7,31,114.67,3554770
54,1,7,31,113.06,3504860
44,1,7,31,118.29,3666990
34,1,7,31,121.46,3765260
24,1,7,31,119.34,3699540
14,1,7,31,116.48,3610880
64,3,6,31,54.01,1674310
54,3,6,31,56.81,1761110
44,3,6,31,56.95,1765450
34,3,6,31,67.36,2088160
24,3,6,31,57.5,1782500
14,3,6,31,63.68,1974080
64,2,6,31,68.73,2130630
54,2,6,31,69.43,2152330
44,2,6,31,78.63,2437530
34,2,6,31,67.27,2085370
24,2,6,31,71.3,2210300
14,2,6,31,71.42,2214020
64,1,6,31,110.05,3411550
54,1,6,31,121.24,3758440
44,1,6,31,116.14,3600340
34,1,6,31,117.32,3636920
24,1,6,31,121.35,3761850
14,1,6,31,121.17,3756270
64,3,5,31,55.39,1717090
54,3,5,31,55.52,1721120
44,3,5,31,57.17,1772270
34,3,5,31,56.83,1761730
24,3,5,31,55.73,1727630
14,3,5,31,59.13,1833030
64,2,5,31,71.45,2214950
54,2,5,31,75.55,2342050
44,2,5,31,69.84,2165040
34,2,5,31,69.64,2158840
24,2,5,31,71.8,2225800
14,2,5,31,70.16,2174960
64,1,5,31,112.7,3493700
54,1,5,31,113.85,3529350
54,1,5,31,120.34,3730540
34,1,5,31,114.72,3556320
24,1,5,31,119.19,3694890
14,1,5,31,116.31,3605610
64,3,4,31,58.3,1807300
54,3,4,31,52.73,1634630
44,3,4,31,54.29,1682990
34,3,4,31,52.37,1623470
24,3,4,31,69.9,2166900
14,3,4,31,65.59,2033290
64,2,4,31,66.47,2060570
54,2,4,31,75.94,2354140
44,2,4,31,66.76,2069560
34,2,4,31,71.3,2210300
24,2,4,31,73.11,2266410
14,2,4,31,70.08,2172480
64,1,4,31,103.51,3208810
54,1,4,31,104.85,3250350
44,1,4,31,104.87,3250970
34,1,4,31,108.59,3366290
24,1,4,31,115.12,3568720
14,1,4,31,113.09,3505790
64,3,3,31,55.65,1725150
54,3,3,31,59.57,1846670
44,3,3,31,57.39,1779090
34,3,3,31,65.0,2015000
24,3,3,31,63.14,1957340
14,3,3,31,59.65,1849150
64,2,3,31,69.25,2146750
54,2,3,31,66.48,2060880
44,2,3,31,72.64,2251840
34,2,3,31,66.63,2065530
24,2,3,31,70.05,2171550
14,2,3,31,67.85,2103350
64,1,3,31,108.39,3360090
54,1,3,31,116.32,3605920
44,1,3,31,105.83,3280730
34,1,3,31,107.74,3339940
24,1,3,31,104.49,3239190
14,1,3,31,111.78,3465180
64,3,2,31,56.65,1756150
54,3,2,31,75.05,2326550
44,3,2,31,59.43,1842330
34,3,2,31,57.25,1774750
24,3,2,31,58.7,1819700
14,3,2,31,67.24,2084440
64,2,2,31,82.62,2561220
54,2,2,31,66.06,2047860
44,2,2,31,71.86,2227660
34,2,2,31,69.86,2165660
24,2,2,31,69.3,2148300
14,2,2,31,79.31,2458610
64,1,2,31,108.37,3359470
54,1,2,31,117.91,3655210
44,1,2,31,115.48,3579880
34,1,2,31,116.64,3615840
24,1,2,31,116.26,3604060
14,1,2,31,111.32,3450920
64,3,1,31,52.13,1616030
54,3,1,31,58.34,1808540
